基金代码,拼音缩写,基金简称,基金类型,拼音全称
014478,ZJDTJJLGYCYHHA,中加低碳经济六个月持有混合A,混合型-偏股,ZHONGJIADITANJINGJILIUGEYUECHIYOUHUNHEA
014479,ZJDTJJLGYCYHHC,中加低碳经济六个月持有混合C,混合型-偏股,ZHONGJIADITANJINGJILIUGEYUECHIYOUHUNHEC
014482,HXRSKCXYNCYHHA,华夏融盛可持续一年持有混合A,混合型-偏股,HUAXIARONGSHENGKECHIXUYINIANCHIYOUHUNHEA
014483,HXRSKCXYNCYHHC,华夏融盛可持续一年持有混合C,混合型-偏股,HUAXIARONGSHENGKECHIXUYINIANCHIYOUHUNHEC
014488,GTRYCYSJLNCYHHA,国投瑞银产业升级两年持有混合A,混合型-偏股,GUOTOURUIYINCHANYESHENGJILIANGNIANCHIYOUHUNHEA
014489,GTRYCYSJLNCYHHC,国投瑞银产业升级两年持有混合C,混合型-偏股,GUOTOURUIYINCHANYESHENGJILIANGNIANCHIYOUHUNHEC
014497,NAYJYXHHC,诺安研究优选混合C,混合型-偏股,NUOANYANJIUYOUXUANHUNHEC
014498,NAHXHHC,诺安鸿鑫混合C,混合型-偏股,NUOANHONGXINHUNHEC
014499,NFZXZZHHC,南方转型增长混合C,混合型-灵活,NANFANGZHUANXINGZENGZHANGHUNHEC
014505,ZYSYHHC,中银收益混合C,混合型-灵活,ZHONGYINSHOUYIHUNHEC
014506,BSCZZXHHA,博时成长臻选混合A,混合型-偏股,BOSHICHENGZHANGZHENXUANHUNHEA
014507,BSCZZXHHC,博时成长臻选混合C,混合型-偏股,BOSHICHENGZHANGZHENXUANHUNHEC
014508,HTFXJZZHHA,汇添富先进制造混合A,混合型-偏股,HUITIANFUXIANJINZHIZAOHUNHEA
014509,HTFXJZZHHC,汇添富先进制造混合C,混合型-偏股,HUITIANFUXIANJINZHIZAOHUNHEC
014513,JYYJYXHHA,金鹰远见优选混合A,混合型-偏股,JINYINGYUANJIANYOUXUANHUNHEA
014514,JYYJYXHHC,金鹰远见优选混合C,混合型-偏股,JINYINGYUANJIANYOUXUANHUNHEC
014521,NALXLHPZHHC,诺安利鑫灵活配置混合C,混合型-灵活,NUOANLIXINLINGHUOPEIZHIHUNHEC
014522,HTFDTTZYNCYHHA,汇添富低碳投资一年持有混合A,混合型-偏股,HUITIANFUDITANTOUZIYINIANCHIYOUHUNHEA
014523,HTFDTTZYNCYHHC,汇添富低碳投资一年持有混合C,混合型-偏股,HUITIANFUDITANTOUZIYINIANCHIYOUHUNHEC
014526,HTFZPQLZZYNCYHHA,汇添富中盘潜力增长一年持有混合A,混合型-偏股,HUITIANFUZHONGPANQIANLIZENGZHANGYINIANCHIYOUHUNHEA
014527,HTFZPQLZZYNCYHHC,汇添富中盘潜力增长一年持有混合C,混合型-偏股,HUITIANFUZHONGPANQIANLIZENGZHANGYINIANCHIYOUHUNHEC
014536,NAGDZZGPC,诺安高端制造股票C,股票型,NUOANGAODUANZHIZAOGUPIAOC
014537,ZYZGHHLOFC,中银中国混合(LOF)C,混合型-灵活,ZHONGYINZHONGGUOHUNHELOFC
014538,CCYJJXHHC,长城研究精选混合C,混合型-偏股,CHANGCHENGYANJIUJINGXUANHUNHEC
014539,HAYSJXHHA,华安优势精选混合A,混合型-偏股,HUAANYOUSHIJINGXUANHUNHEA
014540,HAYSJXHHC,华安优势精选混合C,混合型-偏股,HUAANYOUSHIJINGXUANHUNHEC
014541,HAXNYZTHHA,华安新能源主题混合A,混合型-偏股,HUAANXINNENGYUANZHUTIHUNHEA
014542,HAXNYZTHHC,华安新能源主题混合C,混合型-偏股,HUAANXINNENGYUANZHUTIHUNHEC
014545,PYXYYXYNCYHHA,浦银兴耀优选一年持有混合A,混合型-偏股,PUYINXINGYAOYOUXUANYINIANCHIYOUHUNHEA
014546,PYXYYXYNCYHHC,浦银兴耀优选一年持有混合C,混合型-偏股,PUYINXINGYAOYOUXUANYINIANCHIYOUHUNHEC
014549,JYSJCYLHPZHHC,交银数据产业灵活配置混合C,混合型-灵活,JIAOYINSHUJUCHANYELINGHUOPEIZHIHUNHEC
014550,NAYXLHPZHHC,诺安益鑫灵活配置混合C,混合型-灵活,NUOANYIXINLINGHUOPEIZHIHUNHEC
014551,NAXDLLHPZHHC,诺安新动力灵活配置混合C,混合型-灵活,NUOANXINDONGLILINGHUOPEIZHIHUNHEC
014558,HSPZHXHHA,华商品质慧选混合A,混合型-偏股,HUASHANGPINZHIHUIXUANHUNHEA
014559,HSPZHXHHC,华商品质慧选混合C,混合型-偏股,HUASHANGPINZHIHUIXUANHUNHEC
014560,DFQCCYQSHHA,东方汽车产业趋势混合A,混合型-偏股,DONGFANGQICHECHANYEQUSHIHUNHEA
014561,DFQCCYQSHHC,东方汽车产业趋势混合C,混合型-偏股,DONGFANGQICHECHANYEQUSHIHUNHEC
014562,YFDPZDNSNCYHHA,易方达品质动能三年持有混合A,混合型-偏股,YIFANGDAPINZHIDONGNENGSANNIANCHIYOUHUNHEA
014563,YFDPZDNSNCYHHC,易方达品质动能三年持有混合C,混合型-偏股,YIFANGDAPINZHIDONGNENGSANNIANCHIYOUHUNHEC
014571,DWAXLHHHC,东吴安享量化混合C,混合型-灵活,DONGWUANXIANGLIANGHUAHUNHEC
014572,CXYLJXHHC,长信银利精选混合C,混合型-偏股,CHANGXINYINLIJINGXUANHUNHEC
014574,XYQJNYHHFQSA,鑫元清洁能源混合发起式A,混合型-偏股,XINYUANQINGJIENENGYUANHUNHEFAQISHIA
014575,XYQJNYHHFQSC,鑫元清洁能源混合发起式C,混合型-偏股,XINYUANQINGJIENENGYUANHUNHEFAQISHIC
014581,DWAEFLHPZHHC,东吴阿尔法灵活配置混合C,混合型-灵活,DONGWUAERFALINGHUOPEIZHIHUNHEC
014585,YHXXSNCYHHA,银华心兴三年持有混合A,混合型-偏股,YINHUAXINXINGSANNIANCHIYOUHUNHEA
014586,YHXXSNCYHHC,银华心兴三年持有混合C,混合型-偏股,YINHUAXINXINGSANNIANCHIYOUHUNHEC
014589,ZSCZXDGPA,招商成长先导股票A,股票型,ZHAOSHANGCHENGZHANGXIANDAOGUPIAOA
014590,ZSCZXDGPC,招商成长先导股票C,股票型,ZHAOSHANGCHENGZHANGXIANDAOGUPIAOC
014591,GFRYYNCYQHHA,广发瑞誉一年持有期混合A,混合型-偏股,GUANGFARUIYUYINIANCHIYOUQIHUNHEA
014592,GFRYYNCYQHHC,广发瑞誉一年持有期混合C,混合型-偏股,GUANGFARUIYUYINIANCHIYOUQIHUNHEC
014597,HTBRFLHHC,华泰柏瑞富利混合C,混合型-灵活,HUATAIBAIRUIFULIHUNHEC
014598,YYHXHHFQA,永赢合享混合发起A,混合型-灵活,YONGYINGHEXIANGHUNHEFAQIA
014599,YYHXHHFQC,永赢合享混合发起C,混合型-灵活,YONGYINGHEXIANGHUNHEFAQIC
014600,BSHBYXHHA,博时回报严选混合A,混合型-偏股,BOSHIHUIBAOYANXUANHUNHEA
014601,BSHBYXHHC,博时回报严选混合C,混合型-偏股,BOSHIHUIBAOYANXUANHUNHEC
014606,ZSGDZBHHA,招商高端装备混合A,混合型-偏股,ZHAOSHANGGAODUANZHUANGBEIHUNHEA
014607,ZSGDZBHHC,招商高端装备混合C,混合型-偏股,ZHAOSHANGGAODUANZHUANGBEIHUNHEC
014611,FGHXKJ12GYCYHHA,富国核心科技12个月持有混合A,混合型-偏股,FUGUOHEXINKEJI12GEYUECHIYOUHUNHEA
014612,FGHXKJ12GYCYHHC,富国核心科技12个月持有混合C,混合型-偏股,FUGUOHEXINKEJI12GEYUECHIYOUHUNHEC
014627,CTDCLFRHHFQSLOFC,财通多策略福瑞混合发起式(LOF)C,混合型-偏股,CAITONGDUOCELUEFURUIHUNHEFAQISHILOFC
014628,CTFSHHFQLOFC,财通福盛混合发起(LOF)C,混合型-偏股,CAITONGFUSHENGHUNHEFAQILOFC
014639,XQHHSNCYHHA,兴全合衡三年持有混合A,混合型-偏股,XINGQUANHEHENGSANNIANCHIYOUHUNHEA
014640,XQHHSNCYHHC,兴全合衡三年持有混合C,混合型-偏股,XINGQUANHEHENGSANNIANCHIYOUHUNHEC
014641,MGHYLDHHC,摩根行业轮动混合C,混合型-偏股,MOGENHANGYELUNDONGHUNHEC
014642,MGXXDLHHC,摩根新兴动力混合C,混合型-偏股,MOGENXINXINGDONGLIHUNHEC
014647,RTXJZZHHA,融通先进制造混合A,混合型-偏股,RONGTONGXIANJINZHIZAOHUNHEA
014648,RTXJZZHHC,融通先进制造混合C,混合型-偏股,RONGTONGXIANJINZHIZAOHUNHEC
014651,DCZJTXHHA,大成专精特新混合A,混合型-偏股,DACHENGZHUANJINGTEXINHUNHEA
014652,DCZJTXHHC,大成专精特新混合C,混合型-偏股,DACHENGZHUANJINGTEXINHUNHEC
014653,JXZYCZYNCYHHA,建信卓越成长一年持有混合A,混合型-偏股,JIANXINZHUOYUECHENGZHANGYINIANCHIYOUHUNHEA
014654,JXZYCZYNCYHHC,建信卓越成长一年持有混合C,混合型-偏股,JIANXINZHUOYUECHENGZHANGYINIANCHIYOUHUNHEC
014663,FGCXFZLNDKHHA,富国创新发展两年定开混合A,混合型-偏股,FUGUOCHUANGXINFAZHANLIANGNIANDINGKAIHUNHEA
014664,FGCXFZLNDKHHC,富国创新发展两年定开混合C,混合型-偏股,FUGUOCHUANGXINFAZHANLIANGNIANDINGKAIHUNHEC
014666,GYYZFZHHA,工银优质发展混合A,混合型-偏股,GONGYINYOUZHIFAZHANHUNHEA
014667,GYYZFZHHC,工银优质发展混合C,混合型-偏股,GONGYINYOUZHIFAZHANHUNHEC
014668,YHZJTXLHYXGPFQA,银华专精特新量化优选股票发起A,股票型,YINHUAZHUANJINGTEXINLIANGHUAYOUXUANGUPIAOFAQIA
014669,YHZJTXLHYXGPFQC,银华专精特新量化优选股票发起C,股票型,YINHUAZHUANJINGTEXINLIANGHUAYOUXUANGUPIAOFAQIC
014677,ZXBCZYDLHHE,中信保诚至远动力混合E,混合型-偏股,ZHONGXINBAOCHENGZHIYUANDONGLIHUNHEE
014686,ZSHXZBHHA,招商核心装备混合A,混合型-偏股,ZHAOSHANGHEXINZHUANGBEIHUNHEA
014687,ZSHXZBHHC,招商核心装备混合C,混合型-偏股,ZHAOSHANGHEXINZHUANGBEIHUNHEC
014691,ZJLHYXHHA,中加量化研选混合A,混合型-偏股,ZHONGJIALIANGHUAYANXUANHUNHEA
014692,ZJLHYXHHC,中加量化研选混合C,混合型-偏股,ZHONGJIALIANGHUAYANXUANHUNHEC
014699,DFGDZZHHA,东方高端制造混合A,混合型-偏股,DONGFANGGAODUANZHIZAOHUNHEA
014700,DFGDZZHHC,东方高端制造混合C,混合型-偏股,DONGFANGGAODUANZHIZAOHUNHEC
014701,ZOLHDNHHA,中欧量化动能混合A,混合型-偏股,ZHONGOULIANGHUADONGNENGHUNHEA
014702,ZOLHDNHHC,中欧量化动能混合C,混合型-偏股,ZHONGOULIANGHUADONGNENGHUNHEC
014703,BSSDLHHHA,博时时代领航混合A,混合型-偏股,BOSHISHIDAILINGHANGHUNHEA
014704,BSSDLHHHC,博时时代领航混合C,混合型-偏股,BOSHISHIDAILINGHANGHUNHEC
014706,HFJXMXYNCYHHA,华富匠心明选一年持有混合A,混合型-偏股,HUAFUJIANGXINMINGXUANYINIANCHIYOUHUNHEA
014707,HFJXMXYNCYHHC,华富匠心明选一年持有混合C,混合型-偏股,HUAFUJIANGXINMINGXUANYINIANCHIYOUHUNHEC
014708,THZXJKHHA,天弘臻选健康混合A,混合型-偏股,TIANHONGZHENXUANJIANKANGHUNHEA
014709,THZXJKHHC,天弘臻选健康混合C,混合型-偏股,TIANHONGZHENXUANJIANKANGHUNHEC
014718,FGTXJHHHA,富国天旭均衡混合A,混合型-偏股,FUGUOTIANXUJUNHENGHUNHEA
014719,FGTXJHHHC,富国天旭均衡混合C,混合型-偏股,FUGUOTIANXUJUNHENGHUNHEC
014724,DFLHDCLHHC,东方量化多策略混合C,混合型-偏股,DONGFANGLIANGHUADUOCELUEHUNHEC
014725,GFCZDLSNCYHHA,广发成长动力三年持有混合A,混合型-偏股,GUANGFACHENGZHANGDONGLISANNIANCHIYOUHUNHEA
014726,GFCZDLSNCYHHC,广发成长动力三年持有混合C,混合型-偏股,GUANGFACHENGZHANGDONGLISANNIANCHIYOUHUNHEC
014727,YFDCZDLHHA,易方达成长动力混合A,混合型-偏股,YIFANGDACHENGZHANGDONGLIHUNHEA
014728,YFDCZDLHHC,易方达成长动力混合C,混合型-偏股,YIFANGDACHENGZHANGDONGLIHUNHEC
014729,QHKYXXCYHHC,前海开源新兴产业混合C,混合型-偏股,QIANHAIKAIYUANXINXINGCHANYEHUNHEC
014734,GFRHHHA,广发睿合混合A,混合型-偏股,GUANGFARUIHEHUNHEA
014735,GFRHHHC,广发睿合混合C,混合型-偏股,GUANGFARUIHEHUNHEC
014736,CJHXZJTXGPFQA,创金合信专精特新股票发起A,股票型,CHUANGJINHEXINZHUANJINGTEXINGUPIAOFAQIA
014737,CJHXZJTXGPFQC,创金合信专精特新股票发起C,股票型,CHUANGJINHEXINZHUANJINGTEXINGUPIAOFAQIC
014746,BLDGGTYJSYHHA,贝莱德港股通远景视野混合A,混合型-偏股,BEILAIDEGANGGUTONGYUANJINGSHIYEHUNHEA
014747,BLDGGTYJSYHHC,贝莱德港股通远景视野混合C,混合型-偏股,BEILAIDEGANGGUTONGYUANJINGSHIYEHUNHEC
014754,HAJQYXHHA,华安景气优选混合A,混合型-偏股,HUAANJINGQIYOUXUANHUNHEA
014755,HAJQYXHHC,华安景气优选混合C,混合型-偏股,HUAANJINGQIYOUXUANHUNHEC
014756,PHCZLHLNCYQHHA,鹏华成长领航两年持有期混合A,混合型-偏股,PENGHUACHENGZHANGLINGHANGLIANGNIANCHIYOUQIHUNHEA
014757,PHCZLHLNCYQHHC,鹏华成长领航两年持有期混合C,混合型-偏股,PENGHUACHENGZHANGLINGHANGLIANGNIANCHIYOUQIHUNHEC
014758,MSJYYYJKGPC,民生加银医药健康股票C,股票型,MINSHENGJIAYINYIYAOJIANKANGGUPIAOC
014765,ZOTZHHHFQA,中欧碳中和混合发起A,混合型-偏股,ZHONGOUTANZHONGHEHUNHEFAQIA
014766,ZOTZHHHFQC,中欧碳中和混合发起C,混合型-偏股,ZHONGOUTANZHONGHEHUNHEFAQIC
014771,ZTHLYXYNCYHHFQ,中泰红利优选一年持有混合发起,混合型-偏股,ZHONGTAIHONGLIYOUXUANYINIANCHIYOUHUNHEFAQI
014772,ZTHLJZYNCYHHFQ,中泰红利价值一年持有混合发起,混合型-偏股,ZHONGTAIHONGLIJIAZHIYINIANCHIYOUHUNHEFAQI
014773,HAPZLXHHA,华安品质领先混合A,混合型-偏股,HUAANPINZHILINGXIANHUNHEA
014774,HAPZLXHHC,华安品质领先混合C,混合型-偏股,HUAANPINZHILINGXIANHUNHEC
014781,JXXHYXYNCYHHA,建信兴衡优选一年持有混合A,混合型-偏股,JIANXINXINGHENGYOUXUANYINIANCHIYOUHUNHEA
014782,JXXHYXYNCYHHC,建信兴衡优选一年持有混合C,混合型-偏股,JIANXINXINGHENGYOUXUANYINIANCHIYOUHUNHEC
014783,ZSYJCZHHA,招商远见成长混合A,混合型-偏股,ZHAOSHANGYUANJIANCHENGZHANGHUNHEA
014784,ZSYJCZHHC,招商远见成长混合C,混合型-偏股,ZHAOSHANGYUANJIANCHENGZHANGHUNHEC
014788,CCCYQSHHA,长城产业趋势混合A,混合型-偏股,CHANGCHENGCHANYEQUSHIHUNHEA
014789,CCCYQSHHC,长城产业趋势混合C,混合型-偏股,CHANGCHENGCHANYEQUSHIHUNHEC
014792,HTBRJXZXHHA,华泰柏瑞匠心臻选混合A,混合型-偏股,HUATAIBAIRUIJIANGXINZHENXUANHUNHEA
014793,HTBRJXZXHHC,华泰柏瑞匠心臻选混合C,混合型-偏股,HUATAIBAIRUIJIANGXINZHENXUANHUNHEC
014794,FGYJYXHHA,富国远见优选混合A,混合型-偏股,FUGUOYUANJIANYOUXUANHUNHEA
014795,FGYJYXHHC,富国远见优选混合C,混合型-偏股,FUGUOYUANJIANYOUXUANHUNHEC
014797,FGRY12GYCYQHHA,富国融悦12个月持有期混合A,混合型-偏股,FUGUORONGYUE12GEYUECHIYOUQIHUNHEA
014798,FGRY12GYCYQHHC,富国融悦12个月持有期混合C,混合型-偏股,FUGUORONGYUE12GEYUECHIYOUQIHUNHEC
014805,GJLHJXHHA,国金量化精选混合A,混合型-偏股,GUOJINLIANGHUAJINGXUANHUNHEA
014806,GJLHJXHHC,国金量化精选混合C,混合型-偏股,GUOJINLIANGHUAJINGXUANHUNHEC
014807,HLJQZX18GYCYHHA,宏利景气智选18个月持有混合A,混合型-偏股,HONGLIJINGQIZHIXUAN18GEYUECHIYOUHUNHEA
014808,HLJQZX18GYCYHHC,宏利景气智选18个月持有混合C,混合型-偏股,HONGLIJINGQIZHIXUAN18GEYUECHIYOUHUNHEC
014811,PAXYCZ1NCYHHA,平安兴奕成长1年持有混合A,混合型-偏股,PINGANXINGYICHENGZHANG1NIANCHIYOUHUNHEA
014812,PAXYCZ1NCYHHC,平安兴奕成长1年持有混合C,混合型-偏股,PINGANXINGYICHENGZHANG1NIANCHIYOUHUNHEC
014813,ZSDSJZXXFHHC,浙商大数据智选消费混合C,混合型-灵活,ZHESHANGDASHUJUZHIXUANXIAOFEIHUNHEC
014818,GJXXJZHHA,国金新兴价值混合A,混合型-偏股,GUOJINXINXINGJIAZHIHUNHEA
014819,GJXXJZHHC,国金新兴价值混合C,混合型-偏股,GUOJINXINXINGJIAZHIHUNHEC
014825,HQXZWLYNCYHHA,汇泉兴至未来一年持有混合A,混合型-偏股,HUIQUANXINGZHIWEILAIYINIANCHIYOUHUNHEA
014826,HQXZWLYNCYHHC,汇泉兴至未来一年持有混合C,混合型-偏股,HUIQUANXINGZHIWEILAIYINIANCHIYOUHUNHEC
014827,HQQYWLHHFQSA,汇泉启元未来混合发起式A,混合型-偏股,HUIQUANQIYUANWEILAIHUNHEFAQISHIA
014828,HQQYWLHHFQSC,汇泉启元未来混合发起式C,混合型-偏股,HUIQUANQIYUANWEILAIHUNHEFAQISHIC
014829,NDXNYQCHHA,诺德新能源汽车混合A,混合型-偏股,NUODEXINNENGYUANQICHEHUNHEA
014830,NDXNYQCHHC,诺德新能源汽车混合C,混合型-偏股,NUODEXINNENGYUANQICHEHUNHEC
014833,HTFYXHHC,汇添富盈鑫混合C,混合型-灵活,HUITIANFUYINGXINHUNHEC
014834,HTFYXHHD,汇添富盈鑫混合D,混合型-灵活,HUITIANFUYINGXINHUNHED
014836,HTFCXHLHHC,汇添富创新活力混合C,混合型-偏股,HUITIANFUCHUANGXINHUOLIHUNHEC
014837,HTFCXHLHHD,汇添富创新活力混合D,混合型-偏股,HUITIANFUCHUANGXINHUOLIHUNHED
014838,XYTZHZTHHA,兴银碳中和主题混合A,混合型-偏股,XINGYINTANZHONGHEZHUTIHUNHEA
014839,XYTZHZTHHC,兴银碳中和主题混合C,混合型-偏股,XINGYINTANZHONGHEZHUTIHUNHEC
014840,ZSYHHH,招商裕华混合,混合型-偏股,ZHAOSHANGYUHUAHUNHE
014841,DFAEFYLJKHHFQA,东方阿尔法医疗健康混合发起A,混合型-偏股,DONGFANGAERFAYILIAOJIANKANGHUNHEFAQIA
014842,DFAEFYLJKHHFQC,东方阿尔法医疗健康混合发起C,混合型-偏股,DONGFANGAERFAYILIAOJIANKANGHUNHEFAQIC
014845,ZYXQSLHPZHHC,中银新趋势灵活配置混合C,混合型-灵活,ZHONGYINXINQUSHILINGHUOPEIZHIHUNHEC
014849,JXJKMSHHC,建信健康民生混合C,混合型-偏股,JIANXINJIANKANGMINSHENGHUNHEC
014859,DCHXYXYNCYHHA,大成慧心优选一年持有混合A,混合型-偏股,DACHENGHUIXINYOUXUANYINIANCHIYOUHUNHEA
014860,DCHXYXYNCYHHC,大成慧心优选一年持有混合C,混合型-偏股,DACHENGHUIXINYOUXUANYINIANCHIYOUHUNHEC
014863,JXXXCYGPC,建信信息产业股票C,股票型,JIANXINXINXICHANYEGUPIAOC
014864,JXSPYLHYGPC,建信食品饮料行业股票C,股票型,JIANXINSHIPINYINLIAOHANGYEGUPIAOC
014867,DMYYAHHHC,大摩优悦安和混合C,混合型-偏股,DAMOYOUYUEANHEHUNHEC
014869,DMNXZZHHC,大摩内需增长混合C,混合型-偏股,DAMONEIXUZENGZHANGHUNHEC
014871,DMKJLXHHC,大摩科技领先混合C,混合型-灵活,DAMOKEJILINGXIANHUNHEC
014872,JSPZLCYNCYHHA,嘉实品质蓝筹一年持有混合A,混合型-偏股,JIASHIPINZHILANCHOUYINIANCHIYOUHUNHEA
014873,JSPZLCYNCYHHC,嘉实品质蓝筹一年持有混合C,混合型-偏股,JIASHIPINZHILANCHOUYINIANCHIYOUHUNHEC
014874,HSHYHBHHA,惠升惠远回报混合A,混合型-灵活,HUISHENGHUIYUANHUIBAOHUNHEA
014875,HSHYHBHHC,惠升惠远回报混合C,混合型-灵活,HUISHENGHUIYUANHUIBAOHUNHEC
014878,HAJZQDYNCYHHA,华安价值驱动一年持有混合A,混合型-偏股,HUAANJIAZHIQUDONGYINIANCHIYOUHUNHEA
014879,HAJZQDYNCYHHC,华安价值驱动一年持有混合C,混合型-偏股,HUAANJIAZHIQUDONGYINIANCHIYOUHUNHEC
014885,CSJXYJHHA,长盛匠心研究混合A,混合型-偏股,CHANGSHENGJIANGXINYANJIUHUNHEA
014886,CSJXYJHHC,长盛匠心研究混合C,混合型-偏股,CHANGSHENGJIANGXINYANJIUHUNHEC
014913,BSYJHBHHA,博时研究回报混合A,混合型-偏股,BOSHIYANJIUHUIBAOHUNHEA
014914,BSYJHBHHC,博时研究回报混合C,混合型-偏股,BOSHIYANJIUHUIBAOHUNHEC
014915,CTJXYXYNCYHHA,财通匠心优选一年持有混合A,混合型-偏股,CAITONGJIANGXINYOUXUANYINIANCHIYOUHUNHEA
014916,CTJXYXYNCYHHC,财通匠心优选一年持有混合C,混合型-偏股,CAITONGJIANGXINYOUXUANYINIANCHIYOUHUNHEC
014917,HFJXSDXFHHA,汇丰晋信时代先锋混合A,混合型-偏股,HUIFENGJINXINSHIDAIXIANFENGHUNHEA
014918,HFJXSDXFHHC,汇丰晋信时代先锋混合C,混合型-偏股,HUIFENGJINXINSHIDAIXIANFENGHUNHEC
014919,YHXXYNCYQHHA,银华心选一年持有期混合A,混合型-偏股,YINHUAXINXUANYINIANCHIYOUQIHUNHEA
014920,YHXXYNCYQHHC,银华心选一年持有期混合C,混合型-偏股,YINHUAXINXUANYINIANCHIYOUQIHUNHEC
014922,HXESGKCXTZYNCYHHA,华夏ESG可持续投资一年持有混合A,混合型-偏股,HUAXIAESGKECHIXUTOUZIYINIANCHIYOUHUNHEA
014923,HXESGKCXTZYNCYHHC,华夏ESG可持续投资一年持有混合C,混合型-偏股,HUAXIAESGKECHIXUTOUZIYINIANCHIYOUHUNHEC
014929,MSJYCXCZHHC,民生加银创新成长混合C,混合型-偏股,MINSHENGJIAYINCHUANGXINCHENGZHANGHUNHEC
014930,FGGDZZHYGPC,富国高端制造行业股票C,股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAOC
014931,FGTYHGSPHHHC,富国天源沪港深平衡混合C,混合型-灵活,FUGUOTIANYUANHUGANGSHENPINGHENGHUNHEC
014932,MGYLJKGPC,摩根医疗健康股票C,股票型,MOGENYILIAOJIANKANGGUPIAOC
014933,NFYYBJLHPZHHC,南方医药保健灵活配置混合C,混合型-灵活,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHEC
014937,MGHXJXGPC,摩根核心精选股票C,股票型,MOGENHEXINJINGXUANGUPIAOC
014938,TTCYSJHHA,同泰产业升级混合A,混合型-偏股,TONGTAICHANYESHENGJIHUNHEA
014939,TTCYSJHHC,同泰产业升级混合C,混合型-偏股,TONGTAICHANYESHENGJIHUNHEC
014946,NFGZLYXHHA,南方高质量优选混合A,混合型-偏股,NANFANGGAOZHILIANGYOUXUANHUNHEA
014947,NFGZLYXHHC,南方高质量优选混合C,混合型-偏股,NANFANGGAOZHILIANGYOUXUANHUNHEC
014948,RTXNYLHPZHHC,融通新能源灵活配置混合C,混合型-灵活,RONGTONGXINNENGYUANLINGHUOPEIZHIHUNHEC
014949,JYHYLHPZHHC,交银恒益灵活配置混合C,混合型-灵活,JIAOYINHENGYILINGHUOPEIZHIHUNHEC
014950,HARYSNCYQHHA,汇安润阳三年持有期混合A,混合型-偏股,HUIANRUNYANGSANNIANCHIYOUQIHUNHEA
014951,HARYSNCYQHHC,汇安润阳三年持有期混合C,混合型-偏股,HUIANRUNYANGSANNIANCHIYOUQIHUNHEC
014953,XAZCJXHHC,信澳至诚精选混合C,混合型-偏股,XINAOZHICHENGJINGXUANHUNHEC
014954,XAYJYXHHC,信澳研究优选混合C,混合型-偏股,XINAOYANJIUYOUXUANHUNHEC
014957,HFXFCZGPA,华富消费成长股票A,股票型,HUAFUXIAOFEICHENGZHANGGUPIAOA
014958,HFXFCZGPC,华富消费成长股票C,股票型,HUAFUXIAOFEICHENGZHANGGUPIAOC
014960,GTRADCLLHPZHHC,国泰融安多策略灵活配置混合C,混合型-灵活,GUOTAIRONGANDUOCELUELINGHUOPEIZHIHUNHEC
014961,GLXHYXHHA,国联兴鸿优选混合A,混合型-偏股,GUOLIANXINGHONGYOUXUANHUNHEA
014962,GLXHYXHHC,国联兴鸿优选混合C,混合型-偏股,GUOLIANXINGHONGYOUXUANHUNHEC
014963,JYXJZZHHC,交银先进制造混合C,混合型-偏股,JIAOYINXIANJINZHIZAOHUNHEC
014964,MGKJQYHHC,摩根科技前沿混合C,混合型-灵活,MOGENKEJIQIANYANHUNHEC
014967,JXQLXLCGPC,建信潜力新蓝筹股票C,股票型,JIANXINQIANLIXINLANCHOUGUPIAOC
014970,HADTSHHHC,华安低碳生活混合C,混合型-偏股,HUAANDITANSHENGHUOHUNHEC
014971,HAHLJXHHC,华安红利精选混合C,混合型-偏股,HUAANHONGLIJINGXUANHUNHEC
014972,HAHGSWYZZLHPZHHC,华安沪港深外延增长灵活配置混合C,混合型-灵活,HUAANHUGANGSHENWAIYANZENGZHANGLINGHUOPEIZHIHUNHEC
014975,HAKJDLHHC,华安科技动力混合C,混合型-偏股,HUAANKEJIDONGLIHUNHEC
014976,HASJZTHHC,华安升级主题混合C,混合型-偏股,HUAANSHENGJIZHUTIHUNHEC
014977,HASTYXHHC,华安生态优先混合C,混合型-偏股,HUAANSHENGTAIYOUXIANHUNHEC
014986,DFHXDLHHC,东方核心动力混合C,混合型-偏股,DONGFANGHEXINDONGLIHUNHEC
014987,HACYQSHHA,华安产业趋势混合A,混合型-偏股,HUAANCHANYEQUSHIHUNHEA
014988,HACYQSHHC,华安产业趋势混合C,混合型-偏股,HUAANCHANYEQUSHIHUNHEC
014989,GTXJJLHPZHHC,国泰新经济灵活配置混合C,混合型-灵活,GUOTAIXINJINGJILINGHUOPEIZHIHUNHEC
014990,HAXFSHHHC,华安幸福生活混合C,混合型-偏股,HUAANXINGFUSHENGHUOHUNHEC
014995,ZOLHXFHHA,中欧量化先锋混合A,混合型-偏股,ZHONGOULIANGHUAXIANFENGHUNHEA
014996,ZOLHXFHHC,中欧量化先锋混合C,混合型-偏股,ZHONGOULIANGHUAXIANFENGHUNHEC
014998,GTMFCLJZHHC,国泰民福策略价值混合C,混合型-灵活,GUOTAIMINFUCELUEJIAZHIHUNHEC
014999,HTBXJNYHHA,华泰保兴吉年盈混合A,混合型-偏股,HUATAIBAOXINGJINIANYINGHUNHEA
015000,HTBXJNYHHC,华泰保兴吉年盈混合C,混合型-偏股,HUATAIBAOXINGJINIANYINGHUNHEC
